"CHR_OBJECT"	"OBJ_CLASS"	"OBJ_STATUS"	"OBJ_USER_STATUS"	"CHR_CHAR"	"CHR_VALUE"
"400057865"	"ZMOG_EQUI_ANON"	"INST"	""	"ORDN"	"DAN F-5-43-01"
"400057867"	"ZMOG_EQUI_AC11"	"INST"	""	"RC"	"5 AMP"
"HBDC-LE-18466"	"ZMOG_FLOC_PEML"	"CRTE"	"APPR"	"PSF"	"HBDC-LP-1814"
"HBDB-FIT-105701"	"ZMOG_FLOC_PFIT"	"CRTE"	"APPR"	"CSCPE"	"SCADA MARSHALLING CABINET"
"HBDB-FIT-105701"	"ZMOG_FLOC_PFIT"	"CRTE"	"APPR"	"ZB"	"SAFE AREA"
"HBDB-P-1057"	"ZMOG_FLOC_PP"	"CRTE"	"APPR"	"CETH"	"YES"
"400058943"	"ZMOG_EQUI_ANON"	"INST"	""	"ORDN"	"DAN F-5-43-01"
"400058942"	"ZMOG_EQUI_AHOS"	"INST"	""	"ENCM"	"POLYESTER"
"400058942"	"ZMOG_EQUI_AHOS"	"INST"	""	"TYKE"	"ON-OFF SWITCH"
"TSB-SOV-33001"	"ZMOG_FLOC_PSOV"	"CRTE"	"APPR"	"COSC"	"TSB-NJ-4586 / TSB-NJ-4589"
"TSB-SOV-33001"	"ZMOG_FLOC_PSOV"	"CRTE"	"APPR"	"OER1"	"JUNCTION BOX: TSB-JB-33003"
"400058965"	"ZMOG_EQUI_ARIU"	"INST"	""	"BODM"	"PLASTIC"
"400058974"	"ZMOG_EQUI_AILU"	"INST"	""	"EXCA"	"EEX DE IIC T4"
"400058974"	"ZMOG_EQUI_AILU"	"INST"	""	"FRRA"	"47 - 63 HZ"
"400358170"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP67"
"400358163"	"ZMOG_EQUI_AEJB"	"INST"	""	"EXCA"	"II 2 GD EX E IIC T6 GB"
"400058989"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP67"
"400058995"	"ZMOG_EQUI_ADRS"	"INST"	""	"SUVOF"	"20 VDC TO 24 VDC"
"400058995"	"ZMOG_EQUI_ADRS"	"INST"	""	"BODM"	"PLASTIC"
"400058995"	"ZMOG_EQUI_ADRS"	"INST"	""	"AUCE"	"NA"
"400059023"	"ZMOG_EQUI_AZSE"	"INST"	""	"ENCPK"	"IP 68"
"400059034"	"ZMOG_EQUI_ASDT"	"INST"	""	"DIM"	"112 X 136MM"
"400059034"	"ZMOG_EQUI_ASDT"	"INST"	""	"BODM"	"PLASTIC"
"400059034"	"ZMOG_EQUI_ASDT"	"INST"	""	"SIOU"	"100 MICRO TO 100MA"
"400333106"	"ZMOG_EQUI_AZEP"	"INST"	""	"SUPD"	"24 VDC"
"400059037"	"ZMOG_EQUI_AJB"	"INST"	""	"CERT"	"BAS NO EX 86B3127X"
"400059004"	"ZMOG_EQUI_ATRS"	"INST"	""	"ORDN"	"DUC 2003"
"400059004"	"ZMOG_EQUI_ATRS"	"INST"	""	"DIM"	"220 X 165 X 320"
"400059004"	"ZMOG_EQUI_ATRS"	"INST"	""	"CERT"	"NA"
"400059009"	"ZMOG_EQUI_APIN"	"INST"	""	"DIAL"	"39 MM/WHITE W. BLACK & RED NO"
"400059004"	"ZMOG_EQUI_ATRS"	"INST"	""	"PCST"	"0.5 A"
"400059073"	"ZMOG_EQUI_AILU"	"INST"	""	"RV"	"220 - 254 V +/- 10%"
"400059064"	"ZMOG_EQUI_AXTE"	"INAC"	""	"SUPD"	"12.0 - 42.4 VDC"
"400059064"	"ZMOG_EQUI_AXTE"	"INAC"	""	"EXCE"	"BASEFA 01 ATEX 1431X"
