"C_TYPE"	"C_OBJECT"	"C_DESCRIPTION"	"P_TYPE"	"P_OBJECT"	"P_DESCRIPTION"
"FLOC"	"DA-FE-35005"	"FLOW ORIFICE PLATE (METERING)"	"LOCA"	"DABY"	"GENERAL                                 "
"FLOC"	"DA-FE-35007"	"FLOW ELEMENT (METERING)"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FE-35007"	"FLOW ELEMENT (METERING)"	"SYST"	"DK.DA.A.035"	"WATER INJECTION"
"FLOC"	"DA-FG-50005"	"SIGHT GLASS V-5001 FLOW TO OPEN VENT"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FG-50005"	"SIGHT GLASS V-5001 FLOW TO OPEN VENT"	"SYST"	"DK.DA.A.050"	"SUMP & DRAIN"
"FLOC"	"DA-FGAA-10101"	"GENERAL PLATFORM ALARM HORN"	"SYST"	"DK.DA.A.001"	"FIRE & GAS DETECTION"
"FLOC"	"DA-FGAA-10101"	"GENERAL PLATFORM ALARM HORN"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FGAA-10601"	"GENERAL PLATFORM ALARM"	"SYST"	"DK.DA.A.001"	"FIRE & GAS DETECTION"
"FLOC"	"DA-FGAA-10601"	"GENERAL PLATFORM ALARM"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FHE-51"	"HOSE CABINET WITH 2 COLLAPSABLE HOSES"	"SYST"	"DK.DA.A.003"	"FIRE WATER"
"FLOC"	"DA-FHE-51"	"HOSE CABINET WITH 2 COLLAPSABLE HOSES"	"LOCA"	"DAAY"	"GENERAL                                 "
"FLOC"	"DA-FI-54249"	"RES. XLG/ISC     DANH2S"	"SYST"	"DK.DA.A.054"	"INSTRUMENT & UTILITY AIR"
"FLOC"	"DA-FI-54249"	"RES. XLG/ISC     DANH2S"	"LOCA"	"DAAY"	"GENERAL                                 "
