"source standard code","source standard description","source standard still to be completed indicator","CFIHOS unique id","change request number","status","created date","modified date","terminated date"
"IOGP S-734:2020","AC Uninterruptible Power Supply (UPS) System","yes","CFIHOS-90000123","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-738:2020","Insulation for Piping and Equipment","yes","CFIHOS-90000124","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IOGP S-740:2020","Batteries (IEC)","yes","CFIHOS-90000125","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"NFPA 750:2019","Standard on Water Mist Fire Protection Systems for application in the petroleum and natural gas industries.","yes","CFIHOS-90000126","FR14;FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"DIRECTIVE 94/9/EC:1994","equipment and protective systems intended for use in potentially explosive atmospheres","no","CFIHOS-90000128","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"EN 60079-0:2018","explosive atmospheres - part 0: equipment - general requirements","no","CFIHOS-90000129","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"NFPA 70:2020","national electrical code","no","CFIHOS-90000130","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"API Recommended Practice 615:2016","valve selection guide","no","CFIHOS-90000131","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 3977-5:2001","gas turbines - procurement - part 5: applications for petroleum and natural gas industries","no","CFIHOS-90000132","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 13710:2004","petroleum, petrochemical and natural gas industries — reciprocating positive displacement pumps","no","CFIHOS-90000133","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"IEC 60076-2:2011","power transformers – part 2: temperature rise for liquid-immersed transformers","no","CFIHOS-90000134","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"EN 60079-14:2016","explosive atmospheres part 14: electrical installations design, selection and erection","no","CFIHOS-90000135","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 3166-1:2020","codes for the representation of names of countries and their subdivisions","no","CFIHOS-90000136","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
"ISO 639-1:2002","codes for the representation of names of languages — part 1: alpha-2 code","no","CFIHOS-90000137","FR74","STANDARD","2021-10-07T06:34:09.645Z","2021-10-07T06:34:09.645Z",
