"coding source code","CFIHOS unique id","CFIHOS code equivalent value","created date","modified date","terminated date","status","change request number"
"STEPLIB","CFIHOS-30000184","370425","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000189","RDS276749","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000191","RDS1300133871","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000191","370455","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000199","RDS1030004","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000199","70347","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000201","250350","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000203","RDS5768615","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000204","70349","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000205","70645","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000206","71038","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000208","RDS818999","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000210","40148","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000218","40153","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000221","RDS1318386731","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000224","71278","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000226","RDS11588455","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"STEPLIB","CFIHOS-30000226","460012","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
"POSC CAESAR","CFIHOS-30000227","RDS891494","2021-10-20T09:33:09.158Z","2021-10-20T09:33:09.158Z",,"STANDARD","FR37"
