"parent equipment class name","equipment class name","equipment class definition","abstract class flag","CFIHOS unique id","spare part info required","reason for having class","synonym","created date","modified date","terminated date","change request number","status"
"transmitter","corrosion transmitter","A transmitter that is producing a standardized output signal dependent of a received input signal from a corrosion sensor.","no","CFIHOS-30000751","yes","Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0028;CR0029;FR60","STANDARD"
"heat exchanger","plate heat exchanger","A heat exchanger using plates as the device for separating the two fluids and across which the energy is transferred.","no","CFIHOS-30000752","yes","Required by owner-operators","plate and frame heat exchanger","2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0013;CR0028;CR0030;CR0029;FR60","STANDARD"
"heat exchanger","printed circuit heat exchanger","A non-corrugated plate heat exchanger that has flat plates with chemically etched flow passages which are diffusion bonded together into blocks.","no","CFIHOS-30000754","yes","Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0028;CR0030;CR0029;FR60","STANDARD"
"heat exchanger","shell and tube heat exchanger","A tubular heat exchanger in which a tube bundle is surrounded by a shell.","no","CFIHOS-30000755","yes","Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0005;CR0028;CR0030;CR0029;FR60","STANDARD"
"heat exchanger","kettle reboiler","A reboiler often boils liquid coming from the bottom of a distillation column, after which the resulting vapour is returned to the distillation column.","no","CFIHOS-30000756","yes","missing from CFIHOS - in other OO RDLs Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0013;CR0028;CR0029;FR60","STANDARD"
"vessel","pneumatic cylinder","A cylinder where the piston is actuated by compressed air.","no","CFIHOS-30000757","yes","Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0028;CR0029;FR60","STANDARD"
"vessel","process reactor","A vessel intended to enable a chemical reaction process.","no","CFIHOS-30000758","yes","Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0028;CR0029;FR60","STANDARD"
"vessel","hopper","A vessel with a conical shape for filling or dosing purposes.","no","CFIHOS-30000759","yes","Required by owner-operators",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0028;CR0029;FR60","STANDARD"
"process column","absorber column","A column in which a gas mixture is contacted with a liquid for the purpose of preferentially dissolving one or more components of the gas mixture and to provide a solution of them in the liquid.","no","CFIHOS-30000800","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0013;CR0029;FR60","STANDARD"
"electrical connector","adaptor connector","An electrical connector that is a fixed or free component that permits electrical connection(s) between two or more connectors where direct connection is mechanically impossible.","no","CFIHOS-30000801","yes","missing from CFIHOS - in other OO RDLs",,"2019-10-01T00:47:46.434Z","2021-10-12T14:57:36.093Z",,"CR0012;CR0029;FR60","STANDARD"
