"tag class name","tag class CFIHOS unique ID","equipment class name","equipment class CFIHOS unique ID","reason for mapping","created date","modified date","terminated date","change request number","status"
"vehicle","CFIHOS-30000606","tractor","CFIHOS-30000929",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"vent head","CFIHOS-30000932","pipe","CFIHOS-30000496",,"2020-11-23T16:52:08.931Z","2021-10-08T13:10:32.783Z",,"CR0031","STANDARD"
"venturi tube","CFIHOS-30000486","venturi tube","CFIHOS-30000486",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"vessel","CFIHOS-30000594","vessel","CFIHOS-30000594",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"vibration element","CFIHOS-30000487","vibration element","CFIHOS-30000487",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"vibration switch","CFIHOS-30000273","vibration switch","CFIHOS-30000273",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"vibration transmitter","CFIHOS-30000378","vibration transmitter","CFIHOS-30000378",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"video converter","CFIHOS-30000274","video converter","CFIHOS-30000274",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"video monitor","CFIHOS-30000275","video monitor","CFIHOS-30000275",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"video recorder","CFIHOS-30000488","video recorder","CFIHOS-30000488",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"viscosity analyser","CFIHOS-30000489","viscosity analyser","CFIHOS-30000489",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"voltage regulator","CFIHOS-30000957","voltage regulator","CFIHOS-30000957",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR52","STANDARD"
"voltage to current converter","CFIHOS-30000490","voltage to current converter","CFIHOS-30000490",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"voltage transformer","CFIHOS-30000746","voltage transformer","CFIHOS-30000746",,"2019-03-18T09:38:18.697Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
"voltage transmitter","CFIHOS-30000276","voltage transmitter","CFIHOS-30000276",,"2019-02-26T13:20:04.683Z","2021-10-08T13:10:32.783Z",,"CR0014","STANDARD"
"vortex flow meter","CFIHOS-30000491","vortex flow meter","CFIHOS-30000491",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"vortex flow transmitter","CFIHOS-30000277","vortex flow transmitter","CFIHOS-30000277",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"wafer check valve","CFIHOS-30000876","wafer check valve","CFIHOS-30000876",,"2021-10-08T13:10:32.783Z","2021-10-08T13:10:32.783Z",,"FR60","STANDARD"
"waste compactor","CFIHOS-30000278","waste compactor","CFIHOS-30000278",,"2019-05-14T08:41:29.581Z","2021-10-08T13:10:32.783Z",,"CR0028","STANDARD"
